Id,Label,date_of_episode
A1637,frédéric chopin,"August 7, 1981"
A1639,frederick delius,"August 7, 1981"
A3004,ludwig van beethoven,"August 7, 1981"
A5418,wolfgang amadeus mozart,"August 7, 1981"
A248,antonin dvorak,"August 14, 1981"
A1326,edward elgar,"August 14, 1981"
A1815,giuseppe verdi,"August 14, 1981"
A2396,joaquin rodrigo,"August 14, 1981"
A2572,joseph haydn,"August 14, 1981"
A3488,new york pro musica,"August 14, 1981"
A4624,t s eliot,"August 14, 1981"
A4705,the beatles,"August 14, 1981"
A19,a foggy day,"August 21, 1981"
A506,billie holiday,"August 21, 1981"
A1057,dave brubeck,"August 21, 1981"
A1790,giacomo puccini,"August 21, 1981"
A2790,lawson haggart greats of jazz,"August 21, 1981"
A3603,olympic anthem 1980,"August 21, 1981"
A4397,sidney bechet,"August 21, 1981"
A5162,tony hancock,"August 21, 1981"
A255,antonio vivaldi,"August 28, 1981"
A438,benjamin britten,"August 28, 1981"
A1326,edward elgar,"August 28, 1981"
A1714,george butterworth,"August 28, 1981"
A1815,giuseppe verdi,"August 28, 1981"
A2427,johann sebastian bach,"August 28, 1981"
A3550,nocturne in f minor op 55 1,"August 28, 1981"
A5418,wolfgang amadeus mozart,"August 28, 1981"
A46,adam and the ants,"September 4, 1981"
A651,bruce springsteen,"September 4, 1981"
A1726,george gaynes warren galjour,"September 4, 1981"
A1833,god rest ye merry gentlemen,"September 4, 1981"
A2977,louis armstrong,"September 4, 1981"
A3380,mose allison,"September 4, 1981"
A1170,dire straits,"September 11, 1981"
A1540,fleetwood mac,"September 11, 1981"
A1840,gordon lightfoot,"September 11, 1981"
A2429,johann strauss ii,"September 11, 1981"
A2918,little river band,"September 11, 1981"
A3337,mississippi fred mcdowell,"September 11, 1981"
A3932,pyotr ilyich tchaikovsky,"September 11, 1981"
A5333,waylon jennings,"September 11, 1981"
A904,claude debussy,"September 18, 1981"
A2183,isla blair derek jacobi,"September 18, 1981"
A2427,johann sebastian bach,"September 18, 1981"
A2430,johannes brahms,"September 18, 1981"
A2990,love duet,"September 18, 1981"
A3004,ludwig van beethoven,"September 18, 1981"
A3161,martin luther king jr,"September 18, 1981"
A5418,wolfgang amadeus mozart,"September 18, 1981"
A248,antonin dvorak,"September 25, 1981"
A844,choir of russian church of the metropolitan of paris,"September 25, 1981"
A1326,edward elgar,"September 25, 1981"
A3004,ludwig van beethoven,"September 25, 1981"
A4054,richard strauss,"September 25, 1981"
A5144,tomaso albinoni remo giazotto,"September 25, 1981"
A5418,wolfgang amadeus mozart,"September 25, 1981"
A506,billie holiday,"October 2, 1981"
A726,carl orff,"October 2, 1981"
A2396,joaquin rodrigo,"October 2, 1981"
A2603,judy garland,"October 2, 1981"
A3004,ludwig van beethoven,"October 2, 1981"
A4991,the scots guards,"October 2, 1981"
A5418,wolfgang amadeus mozart,"October 2, 1981"
A345,ballade no 1 in g minor op 23,"October 16, 1981"
A1427,entrance of brunnhilde,"October 16, 1981"
A1515,felix mendelssohn,"October 16, 1981"
A4054,richard strauss,"October 16, 1981"
A4057,richard tucker,"October 16, 1981"
A4058,richard wagner,"October 16, 1981"
A5284,vincenzo bellini,"October 16, 1981"
A5418,wolfgang amadeus mozart,"October 16, 1981"
A248,antonin dvorak,"October 23, 1981"
A802,charles trenet,"October 23, 1981"
A936,cole porter,"October 23, 1981"
A1325,edvard grieg,"October 23, 1981"
A1897,gustav holst,"October 23, 1981"
A3004,ludwig van beethoven,"October 23, 1981"
A3751,paul whiteman his orchestra,"October 23, 1981"
A4818,the flame trees of thika from the tv series,"October 23, 1981"
A887,cicely courtneidge ivor mclaren,"October 30, 1981"
A1467,ethel merman,"October 30, 1981"
A2427,johann sebastian bach,"October 30, 1981"
A2430,johannes brahms,"October 30, 1981"
A2868,lester lanin his orchestra,"October 30, 1981"
A4490,spike jones and his city slickers,"October 30, 1981"
A4697,the band,"October 30, 1981"
A5317,walter huston,"October 30, 1981"
A564,bob dylan,"November 6, 1981"
A1205,don mclean,"November 6, 1981"
A1223,dooley wilson,"November 6, 1981"
A1510,fats waller,"November 6, 1981"
A1897,gustav holst,"November 6, 1981"
A2427,johann sebastian bach,"November 6, 1981"
A3917,procol harum,"November 6, 1981"
A4506,stan freberg,"November 6, 1981"
A438,benjamin britten,"November 13, 1981"
A1576,francis poulenc,"November 13, 1981"
A1870,gregorio allegri,"November 13, 1981"
A2427,johann sebastian bach,"November 13, 1981"
A2663,kathleen ferrier,"November 13, 1981"
A3962,ralph vaughan williams,"November 13, 1981"
A4124,robin orr,"November 13, 1981"
A2050,holman climax male voice and mabe ladies choirs,"November 20, 1981"
A2250,jade warrior,"November 20, 1981"
A2616,julie covington,"November 20, 1981"
A2683,keith michell,"November 20, 1981"
A3793,perry como,"November 20, 1981"
A4096,robert goulet,"November 20, 1981"
A4459,some enchanted evening,"November 20, 1981"
A4705,the beatles,"November 20, 1981"
A221,ann marie gwatkin,"November 27, 1981"
A2304,jean sibelius,"November 27, 1981"
A2530,johnny mathis,"November 27, 1981"
A3201,maurice ravel,"November 27, 1981"
A3771,peggy lee,"November 27, 1981"
A4950,the pips,"November 27, 1981"
A5158,tony bennett,"November 27, 1981"
A1536,flanagan and allen,"December 4, 1981"
A1591,frank crumit,"December 4, 1981"
A3076,mantovani,"December 4, 1981"
A3554,noel coward,"December 4, 1981"
A4056,richard tauber,"December 4, 1981"
A4993,the seekers,"December 4, 1981"
A5233,val doonican,"December 4, 1981"
A5256,vera lynn,"December 4, 1981"
A1618,franz schubert,"December 11, 1981"
A2572,joseph haydn,"December 11, 1981"
A3004,ludwig van beethoven,"December 11, 1981"
A4208,royal shakespeare company,"December 11, 1981"
A4276,samuel coleridge taylor,"December 11, 1981"
A5418,wolfgang amadeus mozart,"December 11, 1981"
A1057,dave brubeck,"December 18, 1981"
A1223,dooley wilson,"December 18, 1981"
A1622,fred astaire,"December 18, 1981"
A2762,lalo schifrin,"December 18, 1981"
A2958,los fronterizos,"December 18, 1981"
A3367,moonlight on the highway,"December 18, 1981"
A3645,oscar peterson,"December 18, 1981"
A4337,sergey rachmaninov,"December 18, 1981"
A1725,george frideric handel,"December 25, 1981"
A2132,igor stravinsky,"December 25, 1981"
A2427,johann sebastian bach,"December 25, 1981"
A2939,london symphony orchestra,"December 25, 1981"
A3962,ralph vaughan williams,"December 25, 1981"
A4274,samuel barber,"December 25, 1981"
A4538,stephen sondheim,"December 25, 1981"
A438,benjamin britten,"January 1, 1982"
A1618,franz schubert,"January 1, 1982"
A1815,giuseppe verdi,"January 1, 1982"
A2572,joseph haydn,"January 1, 1982"
A2841,leos janacek,"January 1, 1982"
A3004,ludwig van beethoven,"January 1, 1982"
A4058,richard wagner,"January 1, 1982"
A5284,vincenzo bellini,"January 1, 1982"
A874,christopher cross,"January 8, 1982"
A1741,george michael,"January 8, 1982"
A2235,jackie wilson,"January 8, 1982"
A2593,jr walker the all stars,"January 8, 1982"
A2908,lionel richie,"January 8, 1982"
A4451,smokey robinson,"January 8, 1982"
A4705,the beatles,"January 8, 1982"
A5350,what kind of fool,"January 8, 1982"
A32,abba,"January 15, 1982"
A255,antonio vivaldi,"January 15, 1982"
A437,beniamino gigli,"January 15, 1982"
A1725,george frideric handel,"January 15, 1982"
A2074,hubert parry,"January 15, 1982"
A2224,jack payne his orchestra,"January 15, 1982"
A3887,polish army central artistic ensemble,"January 15, 1982"
A4110,robert shaw chorale,"January 15, 1982"
A1515,felix mendelssohn,"January 22, 1982"
A1749,georges bizet,"January 22, 1982"
A1897,gustav holst,"January 22, 1982"
A1989,heitor villa lobos,"January 22, 1982"
A2221,jack jones,"January 22, 1982"
A2692,kenneth horne kenneth williams,"January 22, 1982"
A3464,neil sedaka,"January 22, 1982"
A3845,philharmonic orchestra,"January 22, 1982"
A319,audience of the metropolitan,"January 29, 1982"
A912,cleo laine,"January 29, 1982"
A1790,giacomo puccini,"January 29, 1982"
A2074,hubert parry,"January 29, 1982"
A2429,johann strauss ii,"January 29, 1982"
A3004,ludwig van beethoven,"January 29, 1982"
A3445,nat king cole,"January 29, 1982"
A3545,nocturne in c minor op 48 1,"January 29, 1982"
A129,alfred drake,"February 12, 1982"
A1821,glendaurel highland pipe band,"February 12, 1982"
A1971,harvard glee club,"February 12, 1982"
A2101,i got plenty of nuttin,"February 12, 1982"
A2218,jack hylton his orchestra,"February 12, 1982"
A2429,johann strauss ii,"February 12, 1982"
A3979,ray conniff,"February 12, 1982"
A4517,stanley holloway,"February 12, 1982"
A242,anton bruckner,"February 19, 1982"
A873,christoph willibald gluck,"February 19, 1982"
A1326,edward elgar,"February 19, 1982"
A1504,fantasia on polish airs op 13,"February 19, 1982"
A1983,hector berlioz,"February 19, 1982"
A3004,ludwig van beethoven,"February 19, 1982"
A5418,wolfgang amadeus mozart,"February 19, 1982"
A261,apollo victoria cast,"February 26, 1982"
A1630,freddie hubbard ensemble,"February 26, 1982"
A2809,lena horne,"February 26, 1982"
A2811,lengths,"February 26, 1982"
A3771,peggy lee,"February 26, 1982"
A4054,richard strauss,"February 26, 1982"
A4725,the brecker brothers,"February 26, 1982"
A4797,the doobie brothers,"February 26, 1982"
A678,bunk johnson and company,"March 5, 1982"
A1326,edward elgar,"March 5, 1982"
A1725,george frideric handel,"March 5, 1982"
A2260,james cagney,"March 5, 1982"
A2316,jelly roll morton,"March 5, 1982"
A3745,paul robeson,"March 5, 1982"
A3962,ralph vaughan williams,"March 5, 1982"
A5418,wolfgang amadeus mozart,"March 5, 1982"
A907,claudia muzio,"March 12, 1982"
A1618,franz schubert,"March 12, 1982"
A1790,giacomo puccini,"March 12, 1982"
A1804,gioachino rossini,"March 12, 1982"
A1815,giuseppe verdi,"March 12, 1982"
A3962,ralph vaughan williams,"March 12, 1982"
A5418,wolfgang amadeus mozart,"March 12, 1982"
A1716,george chisholm quartet,"March 19, 1982"
A2228,jack teagarden,"March 19, 1982"
A2427,johann sebastian bach,"March 19, 1982"
A2609,jules massenet,"March 19, 1982"
A2977,louis armstrong,"March 19, 1982"
A3445,nat king cole,"March 19, 1982"
A4895,the look of love,"March 19, 1982"
A5418,wolfgang amadeus mozart,"March 19, 1982"
A285,art tatum,"March 26, 1982"
A455,bernard miles,"March 26, 1982"
A1325,edvard grieg,"March 26, 1982"
A1618,franz schubert,"March 26, 1982"
A1853,gracie fields,"March 26, 1982"
A2977,louis armstrong,"March 26, 1982"
A3868,pietro mascagni,"March 26, 1982"
A5418,wolfgang amadeus mozart,"March 26, 1982"
A1790,giacomo puccini,"April 2, 1982"
A1930,hans werner henze,"April 2, 1982"
A2304,jean sibelius,"April 2, 1982"
A4278,samuel sebastian wesley,"April 2, 1982"
A5401,william walton,"April 2, 1982"
A5418,wolfgang amadeus mozart,"April 2, 1982"
A2841,leos janacek,"April 9, 1982"
A3004,ludwig van beethoven,"April 9, 1982"
A3280,michael tippett,"April 9, 1982"
A3359,monks of the abbey of st pierre de solesmes,"April 9, 1982"
A4054,richard strauss,"April 9, 1982"
A4058,richard wagner,"April 9, 1982"
A5094,thomas tallis,"April 9, 1982"
A364,barbara cook,"April 16, 1982"
A1326,edward elgar,"April 16, 1982"
A1467,ethel merman,"April 16, 1982"
A2529,johnny mandel and his orchestra,"April 16, 1982"
A2771,larry kert,"April 16, 1982"
A3201,maurice ravel,"April 16, 1982"
A4101,robert mcferrin,"April 16, 1982"
A5418,wolfgang amadeus mozart,"April 16, 1982"
A116,alexander borodin,"April 23, 1982"
A442,bennie moten s kansas city orchestra,"April 23, 1982"
A646,bronislav simorovic danica obrenic,"April 23, 1982"
A1618,franz schubert,"April 23, 1982"
A1897,gustav holst,"April 23, 1982"
A3868,pietro mascagni,"April 23, 1982"
A5053,the waiter the porter and the upstairs maid,"April 23, 1982"
A5135,tom lehrer,"April 23, 1982"
A248,antonin dvorak,"April 30, 1982"
A702,camille saint saens,"April 30, 1982"
A1725,george frideric handel,"April 30, 1982"
A2396,joaquin rodrigo,"April 30, 1982"
A2427,johann sebastian bach,"April 30, 1982"
A3004,ludwig van beethoven,"April 30, 1982"
A3005,luigi boccherini,"April 30, 1982"
A4054,richard strauss,"April 30, 1982"
A564,bob dylan,"May 7, 1982"
A670,buddy holly,"May 7, 1982"
A903,claude bolling,"May 7, 1982"
A2345,jethro tull,"May 7, 1982"
A3004,ludwig van beethoven,"May 7, 1982"
A3962,ralph vaughan williams,"May 7, 1982"
A4555,stevie wonder,"May 7, 1982"
A4705,the beatles,"May 7, 1982"
A1326,edward elgar,"May 14, 1982"
A1413,engelbert humperdinck,"May 14, 1982"
A1618,franz schubert,"May 14, 1982"
A2007,henry hall,"May 14, 1982"
A2427,johann sebastian bach,"May 14, 1982"
A2430,johannes brahms,"May 14, 1982"
A2447,john dowland,"May 14, 1982"
A5418,wolfgang amadeus mozart,"May 14, 1982"
A232,anne shelton,"May 21, 1982"
A467,betty hutton,"May 21, 1982"
A1275,dylan thomas,"May 21, 1982"
A2983,louis macneice,"May 21, 1982"
A4187,roy fuller,"May 21, 1982"
A4315,scott merrill,"May 21, 1982"
A5045,the two gilberts,"May 21, 1982"
A5303,w h auden,"May 21, 1982"
A702,camille saint saens,"May 28, 1982"
A1067,david bowie,"May 28, 1982"
A1130,derek and the dominos,"May 28, 1982"
A1332,edwin hawkins singers,"May 28, 1982"
A1804,gioachino rossini,"May 28, 1982"
A3932,pyotr ilyich tchaikovsky,"May 28, 1982"
A4409,simon garfunkel,"May 28, 1982"
A4843,the goons,"May 28, 1982"
A1275,dylan thomas,"June 4, 1982"
A1618,franz schubert,"June 4, 1982"
A1662,gaetano donizetti,"June 4, 1982"
A1725,george frideric handel,"June 4, 1982"
A3002,ludwig koch,"June 4, 1982"
A3004,ludwig van beethoven,"June 4, 1982"
A3131,marjorie westbury john rudge,"June 4, 1982"
A5284,vincenzo bellini,"June 4, 1982"
A438,benjamin britten,"June 11, 1982"
A598,boney m,"June 11, 1982"
A1657,gabriel faure,"June 11, 1982"
A2427,johann sebastian bach,"June 11, 1982"
A4030,rhos male voice choir,"June 11, 1982"
A4409,simon garfunkel,"June 11, 1982"
A4922,the moody blues,"June 11, 1982"
A5144,tomaso albinoni remo giazotto,"June 11, 1982"
A1291,ebony and ivory,"June 18, 1982"
A1368,ella fitzgerald,"June 18, 1982"
A1486,evelyn laye,"June 18, 1982"
A1615,franz lehar,"June 18, 1982"
A1815,giuseppe verdi,"June 18, 1982"
A2559,jose collins,"June 18, 1982"
A3201,maurice ravel,"June 18, 1982"
A3554,noel coward,"June 18, 1982"
A569,bob hope shirley ross,"June 25, 1982"
A2217,jack hulbert,"June 25, 1982"
A2427,johann sebastian bach,"June 25, 1982"
A3004,ludwig van beethoven,"June 25, 1982"
A3932,pyotr ilyich tchaikovsky,"June 25, 1982"
A4313,scott joplin,"June 25, 1982"
A4705,the beatles,"June 25, 1982"
A5418,wolfgang amadeus mozart,"June 25, 1982"
A2304,jean sibelius,"July 2, 1982"
A2352,jim lowe,"July 2, 1982"
A2604,judy holliday,"July 2, 1982"
A3524,nina simone,"July 2, 1982"
A4106,robert preston,"July 2, 1982"
A4538,stephen sondheim,"July 2, 1982"
A5269,victoria de los angeles,"July 2, 1982"
A564,bob dylan,"July 9, 1982"
A1326,edward elgar,"July 9, 1982"
A1790,giacomo puccini,"July 9, 1982"
A1815,giuseppe verdi,"July 9, 1982"
A2210,jack buchanan,"July 9, 1982"
A5418,wolfgang amadeus mozart,"July 9, 1982"
A988,crosby nash,"July 16, 1982"
A1368,ella fitzgerald,"July 16, 1982"
A1616,franz liszt,"July 16, 1982"
A1961,harry pagani,"July 16, 1982"
A1962,harry partch,"July 16, 1982"
A1989,heitor villa lobos,"July 16, 1982"
A2427,johann sebastian bach,"July 16, 1982"
A3515,nicolo paganini,"July 16, 1982"
A1836,gong kebyar,"July 23, 1982"
A3045,mae west,"July 23, 1982"
A3727,patty andrews,"July 23, 1982"
A3831,peter sellers,"July 23, 1982"
A3872,pink floyd,"July 23, 1982"
A3971,randy newman,"July 23, 1982"
A4546,steve martin,"July 23, 1982"
A5284,vincenzo bellini,"July 23, 1982"
A66,aguara trumpets of the alur people,"July 30, 1982"
A2027,herbie mann,"July 30, 1982"
A2888,lightnin hopkins,"July 30, 1982"
A3348,modest mussorgsky,"July 30, 1982"
A4274,samuel barber,"July 30, 1982"
A5094,thomas tallis,"July 30, 1982"
A5368,wildlife recording,"July 30, 1982"
A5418,wolfgang amadeus mozart,"July 30, 1982"
A904,claude debussy,"August 6, 1982"
A1191,domenico cimarosa,"August 6, 1982"
A1537,flanders and swann,"August 6, 1982"
A2427,johann sebastian bach,"August 6, 1982"
A3290,mickey rooney,"August 6, 1982"
A3831,peter sellers,"August 6, 1982"
A4705,the beatles,"August 6, 1982"
A1193,domenico scarlatti,"August 13, 1982"
A1567,francesco cavalli,"August 13, 1982"
A1618,franz schubert,"August 13, 1982"
A1725,george frideric handel,"August 13, 1982"
A2427,johann sebastian bach,"August 13, 1982"
A3004,ludwig van beethoven,"August 13, 1982"
A3962,ralph vaughan williams,"August 13, 1982"
A5418,wolfgang amadeus mozart,"August 13, 1982"
A971,coronation of hm queen elizabeth ii,"August 20, 1982"
A1768,gerard hoffnung,"August 20, 1982"
A1815,giuseppe verdi,"August 20, 1982"
A2427,johann sebastian bach,"August 20, 1982"
A2631,jussi bjorling,"August 20, 1982"
A3004,ludwig van beethoven,"August 20, 1982"
A4056,richard tauber,"August 20, 1982"
A4188,roy godfrey howard goorney michael aldridge,"August 20, 1982"
A506,billie holiday,"August 27, 1982"
A1021,dame edna everage,"August 27, 1982"
A1385,elsa sigfuss holger norgaard elsa marie brunn julius koppel,"August 27, 1982"
A2132,igor stravinsky,"August 27, 1982"
A3004,ludwig van beethoven,"August 27, 1982"
A4022,reri grist,"August 27, 1982"
A5418,wolfgang amadeus mozart,"August 27, 1982"
A1467,ethel merman,"September 3, 1982"
A1510,fats waller,"September 3, 1982"
A1536,flanagan and allen,"September 3, 1982"
A1622,fred astaire,"September 3, 1982"
A2837,leontyne price,"September 3, 1982"
A3004,ludwig van beethoven,"September 3, 1982"
A3653,ottorino respighi,"September 3, 1982"
A4697,the band,"September 3, 1982"
A174,amilcare ponchielli,"September 10, 1982"
A438,benjamin britten,"September 10, 1982"
A904,claude debussy,"September 10, 1982"
A1576,francis poulenc,"September 10, 1982"
A3004,ludwig van beethoven,"September 10, 1982"
A4054,richard strauss,"September 10, 1982"
A5418,wolfgang amadeus mozart,"September 10, 1982"
A248,antonin dvorak,"September 17, 1982"
A1618,franz schubert,"September 17, 1982"
A1725,george frideric handel,"September 17, 1982"
A2091,hurrah die schlacht mitgebracht from the gypsy baron,"September 17, 1982"
A3004,ludwig van beethoven,"September 17, 1982"
A3359,monks of the abbey of st pierre de solesmes,"September 17, 1982"
A3564,norman kennedy,"September 17, 1982"
A5401,william walton,"September 17, 1982"
A1279,e power biggs,"September 24, 1982"
A1977,hawthorne,"September 24, 1982"
A2427,johann sebastian bach,"September 24, 1982"
A2430,johannes brahms,"September 24, 1982"
A3580,odile pierre,"September 24, 1982"
A4058,richard wagner,"September 24, 1982"
A4336,sergei prokofiev,"September 24, 1982"
A1057,dave brubeck,"October 1, 1982"
A1209,don williams,"October 1, 1982"
A1599,frank sinatra,"October 1, 1982"
A1727,george gershwin,"October 1, 1982"
A1786,gheorghe zamfir,"October 1, 1982"
A3004,ludwig van beethoven,"October 1, 1982"
A3445,nat king cole,"October 1, 1982"
A3645,oscar peterson,"October 1, 1982"
A904,claude debussy,"October 8, 1982"
A1326,edward elgar,"October 8, 1982"
A1618,franz schubert,"October 8, 1982"
A1815,giuseppe verdi,"October 8, 1982"
A1983,hector berlioz,"October 8, 1982"
A2427,johann sebastian bach,"October 8, 1982"
A3280,michael tippett,"October 8, 1982"
A3932,pyotr ilyich tchaikovsky,"October 8, 1982"
A1067,david bowie,"October 15, 1982"
A1325,edvard grieg,"October 15, 1982"
A1657,gabriel faure,"October 15, 1982"
A1898,gustav mahler,"October 15, 1982"
A2427,johann sebastian bach,"October 15, 1982"
A2430,johannes brahms,"October 15, 1982"
A4054,richard strauss,"October 15, 1982"
A438,benjamin britten,"October 22, 1982"
A1749,georges bizet,"October 22, 1982"
A1815,giuseppe verdi,"October 22, 1982"
A2014,henry purcell,"October 22, 1982"
A2572,joseph haydn,"October 22, 1982"
A881,chuck berry,"October 29, 1982"
A1148,dick gaughan,"October 29, 1982"
A1639,frederick delius,"October 29, 1982"
A2074,hubert parry,"October 29, 1982"
A3231,mel brooks carl reiner,"October 29, 1982"
A4531,stephane grappelli,"October 29, 1982"
A4697,the band,"October 29, 1982"
A4843,the goons,"October 29, 1982"
A1326,edward elgar,"November 12, 1982"
A1639,frederick delius,"November 12, 1982"
A1898,gustav mahler,"November 12, 1982"
A2074,hubert parry,"November 12, 1982"
A2430,johannes brahms,"November 12, 1982"
A3004,ludwig van beethoven,"November 12, 1982"
A5397,william shakespeare,"November 12, 1982"
A5418,wolfgang amadeus mozart,"November 12, 1982"
A438,benjamin britten,"November 19, 1982"
A792,charles francois gounod,"November 19, 1982"
A1618,franz schubert,"November 19, 1982"
A1706,geoffrey burgon,"November 19, 1982"
A1790,giacomo puccini,"November 19, 1982"
A2071,hubert eisdell,"November 19, 1982"
A2862,leslie hutch hutchinson,"November 19, 1982"
A4054,richard strauss,"November 19, 1982"
A790,charles dibdin,"November 26, 1982"
A1326,edward elgar,"November 26, 1982"
A1657,gabriel faure,"November 26, 1982"
A1708,georg philipp telemann,"November 26, 1982"
A2427,johann sebastian bach,"November 26, 1982"
A2447,john dowland,"November 26, 1982"
A3554,noel coward,"November 26, 1982"
A3647,oscar wilde,"November 26, 1982"
A506,billie holiday,"December 3, 1982"
A1662,gaetano donizetti,"December 3, 1982"
A3025,lyubimov,"December 3, 1982"
A3206,max bruch,"December 3, 1982"
A3414,musical youth,"December 3, 1982"
A4468,sonny terry brownie mcghee,"December 3, 1982"
A4595,suryanarayana,"December 3, 1982"
A5144,tomaso albinoni remo giazotto,"December 3, 1982"
A285,art tatum,"December 10, 1982"
A2984,louis prima,"December 10, 1982"
A3004,ludwig van beethoven,"December 10, 1982"
A3168,marvin gaye,"December 10, 1982"
A3977,ray charles,"December 10, 1982"
A4687,the animals,"December 10, 1982"
A5345,west end celebrity orchestra,"December 10, 1982"
A5403,willie nelson,"December 10, 1982"
A353,banat regret from two and three part choruses,"December 24, 1982"
A908,claudio monteverdi,"December 24, 1982"
A1358,elisabeth schwarzkopf,"December 24, 1982"
A1618,franz schubert,"December 24, 1982"
A1815,giuseppe verdi,"December 24, 1982"
A2430,johannes brahms,"December 24, 1982"
A3940,quintetto vocale italiano,"December 24, 1982"
A5418,wolfgang amadeus mozart,"December 24, 1982"
A273,ariel ramirez,"December 31, 1982"
A1618,franz schubert,"December 31, 1982"
A2430,johannes brahms,"December 31, 1982"
A3206,max bruch,"December 31, 1982"
A4054,richard strauss,"December 31, 1982"
A5397,william shakespeare,"December 31, 1982"
A5418,wolfgang amadeus mozart,"December 31, 1982"
A435,benedictine nuns of st cecilia abbey,"January 7, 1983"
A564,bob dylan,"January 7, 1983"
A1618,franz schubert,"January 7, 1983"
A3932,pyotr ilyich tchaikovsky,"January 7, 1983"
A4337,sergey rachmaninov,"January 7, 1983"
A4399,siegfried s funeral march from gotterdammerung,"January 7, 1983"
A5418,wolfgang amadeus mozart,"January 7, 1983"
A869,christian vander,"January 14, 1983"
A1703,gentle giant,"January 14, 1983"
A1718,george duke,"January 14, 1983"
A3201,maurice ravel,"January 14, 1983"
A3440,narada michael walden,"January 14, 1983"
A4555,stevie wonder,"January 14, 1983"
A4813,the falcon,"January 14, 1983"
A832,children s choir,"January 28, 1983"
A908,claudio monteverdi,"January 28, 1983"
A1413,engelbert humperdinck,"January 28, 1983"
A1491,ewig war ich,"January 28, 1983"
A2427,johann sebastian bach,"January 28, 1983"
A3004,ludwig van beethoven,"January 28, 1983"
A4054,richard strauss,"January 28, 1983"
A5418,wolfgang amadeus mozart,"January 28, 1983"
A320,audrey hepburn,"February 4, 1983"
A1312,edith piaf,"February 4, 1983"
A1368,ella fitzgerald,"February 4, 1983"
A2878,liam o flynn,"February 4, 1983"
A3004,ludwig van beethoven,"February 4, 1983"
A3741,paul mccartney,"February 4, 1983"
A5418,wolfgang amadeus mozart,"February 4, 1983"
A786,charles aznavour,"February 11, 1983"
A1326,edward elgar,"February 11, 1983"
A1725,george frideric handel,"February 11, 1983"
A1768,gerard hoffnung,"February 11, 1983"
A2254,jake thackray,"February 11, 1983"
A2364,jimmy durante,"February 11, 1983"
A2623,julio iglesias,"February 11, 1983"
A3443,narrator,"February 11, 1983"
A1725,george frideric handel,"February 18, 1983"
A1989,heitor villa lobos,"February 18, 1983"
A3201,maurice ravel,"February 18, 1983"
A3768,pee wee hunt,"February 18, 1983"
A3872,pink floyd,"February 18, 1983"
A4705,the beatles,"February 18, 1983"
A5007,the sonovox talking piano,"February 18, 1983"
A5013,the squadronaires,"February 18, 1983"
A2427,johann sebastian bach,"February 25, 1983"
A2743,kumar gandharva,"February 25, 1983"
A3846,philip glass,"February 25, 1983"
A4054,richard strauss,"February 25, 1983"
A5382,william bolcom,"February 25, 1983"
A5418,wolfgang amadeus mozart,"February 25, 1983"
A438,benjamin britten,"March 11, 1983"
A1326,edward elgar,"March 11, 1983"
A1576,francis poulenc,"March 11, 1983"
A1657,gabriel faure,"March 11, 1983"
A1898,gustav mahler,"March 11, 1983"
A2615,julie andrews,"March 11, 1983"
A4291,sarah vaughan,"March 11, 1983"
A4401,sigmund romberg,"March 11, 1983"
A297,arthur sullivan,"March 18, 1983"
A803,charles villiers stanford,"March 18, 1983"
A1325,edvard grieg,"March 18, 1983"
A1515,felix mendelssohn,"March 18, 1983"
A3004,ludwig van beethoven,"March 18, 1983"
A3146,marlene dietrich,"March 18, 1983"
A4624,t s eliot,"March 18, 1983"
A5383,william boyce,"March 18, 1983"
A1515,felix mendelssohn,"March 25, 1983"
A1616,franz liszt,"March 25, 1983"
A1898,gustav mahler,"March 25, 1983"
A2427,johann sebastian bach,"March 25, 1983"
A2430,johannes brahms,"March 25, 1983"
A3004,ludwig van beethoven,"March 25, 1983"
A5246,vangelis,"March 25, 1983"
A357,band of hm royal marines,"April 1, 1983"
A667,buddug lloyd roberts,"April 1, 1983"
A1016,dafydd iwan,"April 1, 1983"
A1515,felix mendelssohn,"April 1, 1983"
A2427,johann sebastian bach,"April 1, 1983"
A4638,tea for two,"April 1, 1983"
A5418,wolfgang amadeus mozart,"April 1, 1983"
A564,bob dylan,"April 8, 1983"
A1275,dylan thomas,"April 8, 1983"
A2316,jelly roll morton,"April 8, 1983"
A2319,jennifer holliday,"April 8, 1983"
A3004,ludwig van beethoven,"April 8, 1983"
A3541,nocturne,"April 8, 1983"
A4720,the bolsterstone male voice choir,"April 8, 1983"
A4736,the byrds,"April 8, 1983"
A2317,jennie tourel,"April 15, 1983"
A2427,johann sebastian bach,"April 15, 1983"
A3206,max bruch,"April 15, 1983"
A3932,pyotr ilyich tchaikovsky,"April 15, 1983"
A4054,richard strauss,"April 15, 1983"
A4490,spike jones and his city slickers,"April 15, 1983"
A5418,wolfgang amadeus mozart,"April 15, 1983"
A817,chatur lal,"April 22, 1983"
A1870,gregorio allegri,"April 22, 1983"
A2427,johann sebastian bach,"April 22, 1983"
A2433,john arlott,"April 22, 1983"
A3937,queens own highlanders pipes and drums,"April 22, 1983"
A4409,simon garfunkel,"April 22, 1983"
A5014,the st alexander nevsky cathedral choir,"April 22, 1983"
A5418,wolfgang amadeus mozart,"April 22, 1983"
A80,al read,"April 29, 1983"
A574,bob marley,"April 29, 1983"
A990,crowd at cardiff arms park,"April 29, 1983"
A1343,einir wyn owen,"April 29, 1983"
A1490,ewan maccoll,"April 29, 1983"
